"payload_size","most_used_MCS","effective_latency"
15550,0,18.732
15600,0,18.78
15650,0,18.828
15700,0,18.892
15750,0,18.94
15800,0,19.004
15850,0,19.052
15900,0,19.18
15950,0,19.228
16000,0,19.292
16050,0,19.34
16100,0,19.404
16150,0,19.452
16200,0,19.5
16250,0,19.564
16300,0,19.612
16350,0,19.676
16400,0,19.724
16450,0,19.788
16500,0,19.836
16550,0,19.884
16600,0,19.948
16650,0,19.996
16700,0,20.06
16750,0,20.108
16800,0,20.156
16850,0,20.22
16900,0,20.268
16950,0,20.332
17000,0,20.38
17050,0,20.444
17100,0,20.492
17150,0,20.54
17200,0,20.604
17250,0,20.652
17300,0,20.716
17350,0,20.764
17400,0,20.812
17450,0,20.876
17500,0,20.924
17550,0,20.988
17600,0,21.036
17650,0,21.1
17700,0,21.148
17750,0,21.196
17800,0,21.26
17850,0,21.308
17900,0,21.372
17950,0,21.42
18000,0,21.484
18050,0,21.532
18100,0,21.58
18150,0,21.644
18200,0,21.772
18250,0,21.82
18300,0,21.868
18350,0,21.932
18400,0,21.98
18450,0,22.35
18500,0,22.414
18550,0,22.462
18600,0,22.51
18650,0,22.574
18700,0,22.622
18750,0,22.686
18800,0,22.734
18850,0,22.798
18900,0,22.846
18950,0,22.894
19000,0,22.958
19050,0,23.006
19100,0,23.07
19150,0,23.118
19200,0,23.166
19250,0,23.23
19300,0,23.278
19350,0,23.342
19400,0,23.39
19450,0,23.454
19500,0,23.502
19550,0,23.55
19600,0,23.614
19650,0,23.662
19700,0,23.726
19750,0,23.774
19800,0,23.838
19850,0,23.886
19900,0,23.934
19950,0,23.998
20000,0,24.046
20050,0,24.11
20100,0,24.158
20150,0,24.206
20200,0,24.27
20250,0,24.318
20300,0,24.382
20350,0,24.43
20400,0,24.494
20450,0,24.606
20500,0,24.67
20550,0,24.718
20600,0,24.782
20650,0,24.83
20700,0,24.878
20750,0,24.942
20800,0,24.99
20850,0,25.054
20900,0,25.102
20950,0,25.166
21000,0,25.214
21050,0,25.262
21100,0,25.326
21150,0,25.374
21200,0,25.438
21250,0,25.486
21300,0,25.534
21350,0,25.598
21400,0,25.646
21450,0,25.71
21500,0,25.758
21550,0,25.822
21600,0,25.87
21650,0,25.918
21700,0,25.982
21750,0,26.03
21800,0,26.094
21850,0,26.142
21900,0,26.19
21950,0,26.254
22000,0,26.302
22050,0,26.366
22100,0,26.414
22150,0,26.478
22200,0,26.526
22250,0,26.574
22300,0,26.638
22350,0,26.686
22400,0,26.75
22450,0,26.798
22500,0,26.862
22550,0,26.91
22600,0,26.958
22650,0,27.022
22700,0,27.07
22750,0,27.198
22800,0,27.246
22850,0,27.31
22900,0,27.358
22950,0,27.674
23000,0,27.738
23050,0,27.786
23100,0,27.834
23150,0,27.898
23200,0,27.946
23250,0,28.01
23300,0,28.058
23350,0,28.122
23400,0,28.17
23450,0,28.218
23500,0,28.282
23550,0,28.33
23600,0,28.394
23650,0,28.442
23700,0,28.49
23750,0,28.554
23800,0,28.602
23850,0,28.666
23900,0,28.714
23950,0,28.778
24000,0,28.826
24050,0,28.874
24100,0,28.938
24150,0,28.986
24200,0,29.05
24250,0,29.098
24300,0,29.162
24350,0,29.21
24400,0,29.258
24450,0,29.322
24500,0,29.37
24550,0,29.434
24600,0,29.482
24650,0,29.53
24700,0,29.594
24750,0,29.642
24800,0,29.706
24850,0,29.754
24900,0,29.818
24950,0,29.866
25000,0,29.994
25050,0,30.042
25100,0,30.106
25150,0,30.154
25200,0,30.202
25250,0,30.266
25300,0,30.314
25350,0,30.378
25400,0,30.426
25450,0,30.49
25500,0,30.538
25550,0,30.586
25600,0,30.65
25650,0,30.698
25700,0,30.762
25750,0,30.81
25800,0,30.858
25850,0,30.922
25900,0,30.97
25950,0,31.034
26000,0,31.082
26050,0,31.146
26100,0,31.194
26150,0,31.242
26200,0,31.306
26250,0,31.354
26300,0,31.418
26350,0,31.466
26400,0,31.514
26450,0,31.578
26500,0,31.626
26550,0,31.69
26600,0,31.738
26650,0,31.802
26700,0,31.85
26750,0,31.898
26800,0,31.962
26850,0,32.01
26900,0,32.074
26950,0,32.122
27000,0,32.17
27050,0,32.234
27100,0,32.282
27150,0,32.346
27200,0,32.394
27250,0,32.458
27300,0,32.57
27350,0,32.634
27400,0,32.682
27450,0,32.746
